Date,Open
11/22/2016,111949997
11/23/2016,111360001
11/25/2016,111129997
11/28/2016,11143
11/29/2016,110779999
11/30/2016,111599998
12/01/2016,110370003
12/02/2016,109169998
12/05/2016,110
12/06/2016,1095
12/07/2016,109260002
12/08/2016,110860001
12/09/2016,112309998
12/12/2016,113290001
12/13/2016,113839996
12/14/2016,115040001
12/15/2016,115379997
12/16/2016,116470001
12/19/2016,115800003
12/20/2016,116739998
12/21/2016,116800003
12/22/2016,116349998
12/23/2016,115589996
12/27/2016,116519997
12/28/2016,117519997
12/29/2016,116449997
12/30/2016,116650002
01/03/2017,115800003
01/04/2017,115849998
01/05/2017,115919998
01/06/2017,116779999
01/09/2017,117949997
01/10/2017,118769997
01/11/2017,118739998
01/12/2017,118900002
1/13/2017,119110001
1/17/2017,118339996
1/18/2017,120
1/19/2017,119400002
1/20/2017,120449997
1/23/2017,120
1/24/2017,119550003
1/25/2017,120419998
1/26/2017,121669998
1/27/2017,122139999
1/30/2017,12093
1/31/2017,121150002
02/01/2017,127029999
02/02/2017,127980003
02/03/2017,128309998
02/06/2017,129130005
02/07/2017,130539993
02/08/2017,131350006
02/09/2017,131649994
02/10/2017,132460007
2/13/2017,133080002
2/14/2017,133470001
2/15/2017,135520004
2/16/2017,135669998
2/17/2017,135100006
2/21/2017,136229996
2/22/2017,136429993
2/23/2017,137380005
2/24/2017,135910004
2/27/2017,137139999
2/28/2017,137080002
03/01/2017,137889999
03/02/2017,140
03/03/2017,138779999
03/06/2017,139369995
03/07/2017,139059998
03/08/2017,138949997
03/09/2017,138740005
03/10/2017,13925
3/13/2017,138850006
3/14/2017,139300003
3/15/2017,139410004
3/16/2017,140720001
3/17/2017,141
3/20/2017,140399994
3/21/2017,142110001
3/22/2017,139850006
3/23/2017,141259995
3/24/2017,1415
3/27/2017,139389999
3/28/2017,140910004
3/29/2017,143679993
3/30/2017,144190002
3/31/2017,143720001
04/03/2017,143710007
04/04/2017,14325
04/05/2017,144220001
04/06/2017,144289993
04/07/2017,143729996
04/10/2017,143600006
04/11/2017,142940002
04/12/2017,141600006
4/13/2017,141910004
4/17/2017,141479996
4/18/2017,141410004
4/19/2017,141880005
4/20/2017,141220001
4/21/2017,142440002
4/24/2017,1435
4/25/2017,143910004
4/26/2017,144470001
4/27/2017,143919998
4/28/2017,144089996
05/01/2017,145100006
05/02/2017,147539993
05/03/2017,145589996
05/04/2017,146520004
05/05/2017,146759995
05/08/2017,149029999
05/09/2017,153869995
05/10/2017,153630005
05/11/2017,152449997
05/12/2017,154699997
5/15/2017,156009995
5/16/2017,155940002
5/17/2017,153600006
5/18/2017,151270004
5/19/2017,153380005
5/22/2017,154
5/23/2017,154899994
5/24/2017,153839996
5/25/2017,153729996
5/26/2017,154
5/30/2017,153419998
5/31/2017,153970001
06/01/2017,153169998
06/02/2017,153580002
06/05/2017,154339996
06/06/2017,153899994
06/07/2017,155020004
06/08/2017,15525
06/09/2017,155190002
06/12/2017,145740005
6/13/2017,147160004
6/14/2017,1475
6/15/2017,143320007
6/16/2017,143779999
6/19/2017,143660004
6/20/2017,146869995
6/21/2017,145520004
6/22/2017,145770004
6/23/2017,145130005
6/26/2017,147169998
6/27/2017,145009995
6/28/2017,144490005
6/29/2017,144710007
6/30/2017,144449997
07/03/2017,144880005
07/05/2017,143690002
07/06/2017,143020004
07/07/2017,142899994
07/10/2017,144110001
07/11/2017,144729996
07/12/2017,145869995
7/13/2017,1455
7/14/2017,147970001
7/17/2017,148820007
7/18/2017,149199997
7/19/2017,150479996
7/20/2017,1515
7/21/2017,149990005
7/24/2017,150580002
7/25/2017,151800003
7/26/2017,153350006
7/27/2017,15375
7/28/2017,149889999
7/31/2017,149899994
08/01/2017,149100006
08/02/2017,159279999
08/03/2017,157050003
08/04/2017,156070007
08/07/2017,157059998
08/08/2017,158600006
08/09/2017,159259995
08/10/2017,159899994
08/11/2017,156600006
8/14/2017,159320007
8/15/2017,160660004
8/16/2017,161940002
8/17/2017,160520004
8/18/2017,157860001
8/21/2017,1575
8/22/2017,158229996
8/23/2017,159070007
8/24/2017,160429993
8/25/2017,159649994
8/28/2017,160139999
8/29/2017,160100006
8/30/2017,163800003
8/31/2017,163639999
09/01/2017,164800003
09/05/2017,16375
09/06/2017,162710007
09/07/2017,162089996
09/08/2017,160860001
09/11/2017,1605
09/12/2017,162610001
9/13/2017,159869995
9/14/2017,158990005
9/15/2017,158470001
9/18/2017,160110001
9/19/2017,159509995
9/20/2017,157899994
9/21/2017,155800003
9/22/2017,151539993
9/25/2017,149990005
9/26/2017,151779999
9/27/2017,153800003
9/28/2017,153889999
